日期,CNN恐惧与贪婪,VIX,标普RSI14,纳指RSI14,双RSI均值,PE百分位,PB百分位,估值温度,综合档位,建议总仓位,标普仓位,纳指仓位,策略
2025-12-29,60,18,55,52,53.5,45,42,43.5,中性合理,60%-70%,30%-35%,30%-35%,1.5倍定投，逢小跌小幅加仓
2026-05-12,65,18.9,79.1,86.5,82.8,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-13,66,18.0,74.5,78.8,76.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-14,66,17.3,80.5,82.3,81.4,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-15,62,18.4,68.5,72.8,70.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-16,62,18.4,68.5,72.8,70.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-17,62,18.4,68.5,72.8,70.6,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-19,62,17.8,71.8,75.6,73.7,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-20,60,18.1,66.7,71.2,69.0,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-21,60,17.4,67.0,72.7,69.8,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-22,58,16.8,66.6,71.3,68.9,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-23,58,16.7,71.1,73.3,72.2,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
2026-05-25,58,16.7,71.1,73.3,72.2,45,42,43.5,中性偏贪婪,40%-50%,20%-25%,20%-25%,正常定投，不追加、不激进
